Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,slack
grid_generator,grid_ac_bus,Slack,,10.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,,0.2,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,True
solar_panels,solar_dc_bus,PQ,,1.65,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,mis_paneles,0.0,0.0,True,0,inf,0.0,0.9,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,
